Population,a0,a1,b0,b1,c0,c1,d0,d1,e0,e1,f0,f1,g0,g1,h0,h1,i0,i1,j0,j1,k0,k1,l0,l1
DR12,72,72,81,81,100,100,0,0,0,0,120,120,120,120,141,141,154,187,180,180,232,232,259,262
DR15,72,72,81,81,100,100,0,0,0,0,120,120,120,120,141,141,158,158,180,180,232,232,250,259
DR16,72,72,81,81,100,100,112,116,120,120,120,120,120,122,141,141,187,187,180,180,232,232,259,259
DR17,72,72,81,81,100,100,112,116,0,0,120,120,120,120,141,141,187,187,180,180,232,232,259,259
DR18,72,72,81,81,100,100,0,0,0,0,120,120,120,122,141,141,187,187,180,180,232,232,253,259
DR22,72,72,81,81,100,100,0,0,0,0,120,120,120,122,141,141,187,187,180,180,232,232,259,259
DR23,72,72,81,81,100,100,116,116,0,0,120,120,120,122,141,141,158,187,180,180,232,232,250,259
DR25,72,72,81,81,100,100,116,116,0,0,120,120,120,122,141,141,158,158,180,180,232,235,250,259
DR27,72,72,81,81,100,100,110,116,0,0,120,120,122,122,141,141,158,158,180,180,232,232,259,259
DR29,72,72,81,81,100,100,0,0,0,0,120,120,120,122,141,141,187,187,180,180,232,232,259,262
DR30,72,72,81,81,100,100,0,0,0,0,120,120,120,120,141,141,187,187,180,180,232,232,259,262
DR31,72,72,81,81,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,259,259
DR33,72,72,81,81,100,100,116,116,0,0,120,120,120,122,141,141,187,187,180,180,232,232,250,253
DR35,72,72,81,81,100,100,0,0,0,0,120,120,122,122,141,141,158,187,180,180,232,232,259,259
DR36,72,72,81,81,100,100,116,116,0,0,120,120,120,122,141,141,158,158,180,180,0,0,250,259
DR37,72,72,81,81,100,100,116,116,0,0,120,120,120,122,141,141,187,187,177,180,232,232,259,259
DR38,72,72,81,81,100,100,0,0,0,0,120,120,120,120,141,141,187,187,180,180,232,232,259,259
DR39,72,72,81,81,100,100,0,0,0,0,120,120,120,120,141,141,187,187,180,180,232,232,259,259
DR45,72,72,81,81,100,100,0,0,0,0,120,120,120,120,141,141,187,187,180,180,232,232,259,262
DR48,72,72,81,81,100,100,0,0,0,0,120,120,120,122,141,141,164,187,177,180,232,232,259,259
DR60,72,72,81,91,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,259,259
DR63,72,72,81,91,100,100,112,116,0,0,120,120,120,122,141,141,187,187,180,180,232,232,259,259
DR64,72,72,81,81,100,100,112,116,0,0,120,120,120,122,141,141,164,187,177,180,232,232,0,0
DR65,72,72,81,81,100,100,112,116,0,0,120,120,120,120,141,141,187,187,180,180,232,235,253,259
Pop,,,,,,,,,,,,,,,,,,,,,,,,
LU01,72,72,81,81,100,100,112,114,0,0,120,120,0,0,141,141,158,189,180,180,232,232,0,0
LU02,72,72,81,81,100,100,118,118,0,0,120,120,120,126,141,141,158,187,180,180,232,232,259,260
LU03,0,0,81,81,100,100,114,116,0,0,120,120,120,122,141,141,187,187,180,180,232,232,247,259
LU04,72,72,81,81,100,100,112,112,0,0,120,120,120,120,141,141,158,187,180,180,232,232,256,259
LU06,72,72,81,81,100,100,114,114,0,0,120,120,120,120,141,141,158,187,180,180,232,232,257,259
LU07,72,72,81,81,100,100,0,0,0,0,120,120,122,122,141,141,158,158,180,180,232,232,259,259
LU08,72,72,81,81,100,100,114,116,0,0,120,120,120,122,141,141,158,158,180,180,232,232,259,259
LU09,72,72,81,81,100,100,114,114,0,0,120,120,122,122,141,141,158,158,180,180,232,232,256,259
LU11,72,72,81,87,100,100,112,112,0,0,120,120,120,120,141,141,158,187,180,180,232,232,259,259
LU12,72,72,81,81,100,100,114,114,0,0,120,120,122,122,141,141,158,158,180,180,232,232,259,261
LU13,72,72,81,81,100,100,108,118,120,123,120,120,120,120,141,141,158,187,180,180,232,232,259,259
LU14,72,72,81,81,100,100,114,114,0,0,120,120,120,120,141,141,158,158,180,180,232,232,259,259
LU15,72,72,81,81,100,100,112,116,0,0,120,120,120,120,141,141,158,158,180,180,232,232,259,259
LU16,72,72,81,81,100,100,114,116,0,0,120,120,0,0,141,141,158,158,180,180,227,232,259,259
LU17,72,72,81,81,100,100,112,114,0,0,120,120,0,0,141,141,158,158,180,180,232,232,259,259
LU18,72,72,81,81,100,100,114,116,0,0,120,120,120,120,141,141,187,187,180,180,232,232,256,256
LU20,72,72,81,81,100,100,112,114,0,0,120,120,120,122,141,141,158,187,180,180,232,235,259,259
LU21,72,72,81,81,100,100,118,118,0,0,120,120,120,120,141,141,158,187,180,180,232,232,259,259
LU22,72,72,81,81,100,100,112,118,0,0,120,120,122,122,141,141,158,158,180,180,232,232,250,256
LU23,72,72,81,81,100,100,112,116,0,0,120,120,120,122,141,141,158,187,180,180,232,232,256,259
LU25,72,72,81,81,100,100,112,114,0,0,120,120,120,122,141,141,154,187,177,180,232,232,247,256
LU26,72,72,85,85,100,100,118,118,0,0,120,120,120,120,141,141,158,187,180,180,232,232,259,259
LU27,72,72,81,85,100,100,114,114,0,0,120,120,120,122,141,141,154,158,180,180,232,232,250,259
LU28,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,158,180,180,232,232,259,259
LU29,72,72,81,81,100,100,116,116,0,0,120,120,120,122,141,141,158,158,180,180,232,232,259,259
LU30,72,72,81,81,100,100,114,116,0,0,120,120,120,122,141,141,158,158,180,180,232,235,256,259
LU32,72,72,81,81,100,100,108,114,0,0,120,120,0,0,141,141,158,160,180,180,232,232,259,259
LU33,72,72,81,81,100,100,114,116,0,0,120,120,120,122,141,141,158,187,180,180,232,232,259,259
LU34,72,72,81,81,100,100,108,116,0,0,120,120,120,122,141,141,158,187,180,180,232,232,259,259
LU35,72,72,81,81,100,100,112,114,0,0,120,120,120,122,141,141,154,158,180,180,232,232,259,262
LU36,72,72,81,81,100,100,114,116,0,0,120,120,122,126,141,141,158,164,180,180,232,232,259,259
LU37,72,72,81,87,100,100,112,114,0,0,120,120,120,134,141,141,158,158,180,180,232,232,259,259
LU38,72,72,81,91,100,100,112,112,0,0,120,120,120,120,141,141,158,187,180,180,232,232,259,259
LU39,72,72,81,81,100,100,114,114,0,0,120,120,0,0,141,141,158,187,180,180,232,232,259,259
LU40,72,72,81,81,100,100,112,114,0,0,120,120,118,122,141,141,185,187,180,180,232,232,259,259
